age,job,marital,education,balance,housing,loan,deposit,customer_segment,segment_name,estimated_clv,risk_score,campaign_cost,campaign_roi
59,admin.,married,secondary,2343,yes,no,yes,3,Premium_Clients,5046.86,0.0,50,9900.0
56,admin.,married,secondary,45,no,no,yes,0,Young_Savers,5000.9,0.0,50,9900.0
41,technician,married,secondary,1270,yes,no,yes,0,Young_Savers,5025.4,0.0,50,9900.0
55,services,married,secondary,2476,yes,no,yes,3,Premium_Clients,5049.52,0.0,50,9900.0
54,admin.,married,tertiary,184,no,no,yes,3,Premium_Clients,5003.68,0.0,100,4900.0
42,management,single,tertiary,0,yes,yes,yes,0,Young_Savers,5000.0,30.0,100,4900.0
56,management,married,tertiary,830,yes,yes,yes,3,Premium_Clients,5016.6,30.0,50,9900.0
60,retired,divorced,secondary,545,yes,no,yes,3,Premium_Clients,5010.9,0.0,50,9900.0
37,technician,married,secondary,1,yes,no,yes,0,Young_Savers,5000.02,0.0,50,9900.0
28,services,single,secondary,5090,yes,no,yes,0,Young_Savers,5101.8,0.0,150,3233.3333333333335
38,admin.,single,secondary,100,yes,no,yes,0,Young_Savers,5002.0,0.0,50,9900.0
30,blue-collar,married,secondary,309,yes,no,yes,0,Young_Savers,5006.18,0.0,100,4900.0
29,management,married,tertiary,199,yes,yes,yes,0,Young_Savers,5003.98,30.0,200,2400.0
46,blue-collar,single,tertiary,460,yes,no,yes,0,Young_Savers,5009.2,0.0,100,4900.0
31,technician,single,tertiary,703,yes,no,yes,0,Young_Savers,5014.06,0.0,100,4900.0
35,management,divorced,tertiary,3837,yes,no,yes,0,Young_Savers,5076.74,0.0,50,9900.0
32,blue-collar,single,primary,611,yes,no,yes,0,Young_Savers,5012.22,0.0,150,3233.3333333333335
49,services,married,secondary,-8,yes,no,yes,0,Young_Savers,4999.84,30.0,50,9900.0
41,admin.,married,secondary,55,yes,no,yes,0,Young_Savers,5001.1,0.0,100,4900.0
49,admin.,divorced,secondary,168,yes,yes,yes,0,Young_Savers,5003.36,30.0,50,9900.0
28,admin.,divorced,secondary,785,yes,no,yes,0,Young_Savers,5015.7,0.0,100,4900.0
43,management,single,tertiary,2067,yes,no,yes,0,Young_Savers,5041.34,0.0,50,9900.0
43,management,divorced,tertiary,388,yes,no,yes,0,Young_Savers,5007.76,0.0,100,4900.0
43,blue-collar,married,primary,-192,yes,no,yes,0,Young_Savers,4996.16,30.0,100,4900.0
37,unemployed,single,secondary,381,yes,no,yes,0,Young_Savers,5007.62,0.0,100,4900.0
35,blue-collar,single,secondary,40,yes,no,yes,0,Young_Savers,5000.8,0.0,200,2400.0
31,technician,single,tertiary,22,yes,no,yes,0,Young_Savers,5000.44,0.0,150,3233.3333333333335
43,blue-collar,single,secondary,3,yes,no,yes,0,Young_Savers,5000.06,0.0,150,3233.3333333333335
31,admin.,married,secondary,307,yes,no,yes,0,Young_Savers,5006.14,0.0,50,9900.0
28,blue-collar,single,secondary,759,yes,no,yes,0,Young_Savers,5015.18,0.0,50,9900.0
32,blue-collar,married,secondary,-1,yes,no,yes,0,Young_Savers,4999.98,70.0,50,9900.0
60,technician,married,primary,65,yes,no,yes,3,Premium_Clients,5001.3,0.0,100,4900.0
26,blue-collar,single,secondary,82,yes,no,yes,0,Young_Savers,5001.64,0.0,50,9900.0
40,blue-collar,married,secondary,10,yes,no,yes,0,Young_Savers,5000.2,0.0,100,4900.0
33,blue-collar,divorced,primary,390,yes,no,yes,0,Young_Savers,5007.8,0.0,100,4900.0
